commentaire$text
comments  51$Séjour d’une nuit en couple pour visiter la région le temps d’un week-end. Le personnel d’accueil est charmant et très professionnel. Bonnes idées de découverte de la région et d’infos sur la livraison en chambre des repas cause couvre feu. L’hôtel a une belle vue sur un fort côté parking et ne donne pas sur une autoroute. Les demandes spéciales ont été respectées (étage élevé et au calme) Seul la qualité de couchage est un peu limite et le coin salle de bain un peu vieillissant. Mais à moins de 40€ la nuit on oublie vite cela et c’est donc un avis positif pour cet hôtel que je vous recommande pour un court séjour
comments  52$Chambre convenable. Sauf le sanitaire avec plein de fuite, sous le lavabo où lorsqu'on ouvrait le robinet on se lavait les pieds en meme temps. Idem pour la douche où le raccord etait inexistant. Nous l'avons signalé et apparemment il n'etait pas au courant... Pourtant les chaussures n'ont pas dit pareil...
comments  53$La chambre attribuée était communiquant avec une autre donc j’entendais la musique du voisin à l’arrivée. Après un sms à l’accueil, le gardien m’a proposé une autre chambre tranquille.
comments  54$On a pas pu se réchauffer car trop bruyant la clim, un peu froid
comments  55$Conforme aux normes de la chaine Première Classe. Propre, Calme, Bon accueil. Tout ceci dans la sobriété car le prix ne permet aucun dérapage. Je l'utilise pour mes arrêts à l 'étape. Pour un sejour peut-être aurez-vous besoin de plus d'espace. Mais n'hésitez pas. A ce prix, mieux est introuvable !
comments  56$
comments  57$L hotel et bien pour du depannage mais passer une semaine j aurais choisiautre chose. Chambre 2 personne tres petite difficile de se croiser ou circuler dans la chambre le lit pas tres confortable j ai trouver de la pousiere dans les drap blanc sans compter de l araignee. Personne a l acceuil l homme tres acceuillant et souriant mais la femme froide ou sourire forcee. Petit ok rien a dire.
comments  58$Poils et traces ds le lit a 2 places ch n*72 et odeur de pipi de chat sur le lit superieur Douchette avec l eau qui coule sans cesse
comments  59$
comments  60$Hotel propre et pratique pour prendre un ferrie ..........
comments  61$Bon hôtel au calme et proche des magasins à la fois.
comments  62$Hôtel simple, très correct qui aurait besoin d’être rafraîchi. Personnel très accueillant.
comments  63$les flexibles de la poire de douche sont trop court et pour ce qui est des douches une personne forte de corpulance ne peut prendre de douche car cela est trop petit
comments  64$Accueil 1er jour moyen, la personne pas tres agreable. Le 2eme jour accueil fait par Amira tres tres agreable . Hotel calme et bien situé Sejour correct
comments  65$Le prix est bien mais la chambre beaucoup trop petite et le ménage moyen
comments  66$Odeur de tabac ÷÷÷÷÷ radiateur très sale plein de "giclures"
comments  67$Bon hôtel, à proximité de tout. Personnel accueillant.
comments  68$Chambre à l’abandon
comments  69$l'emplacement dans un quartier calme , parking assez grand
comments  70$Manque de serviettes, et de savon. Etat des portes sanitaires médiocres. Petit déjeuner un peu juste en choix.
comments  71$Hôtel conforme à la description. Accueil et propreté 👍
comments  72$
comments  73$hôtel bien situé, coté parking au calme mais problème de climatisation durant 2 jours, du coup impossible de dormir !!!
comments  74$Trop de Bruit de canalusation jusqu'à tard dans la nuit +bruit des voitures au petit matin.
comments  75$3 nuits au mois de juin 2020 . Réception très correcte et explication du déroulement après-covid bien clair . Belle petite chambre bien agencée pour 1 ou 2 personnes et parking très vaste et sécurisé . Manque de finition au ménage ... mais je suis un peu maniaque ! Télécommande poste TV vétuste . Je suis un habitué des hôtels 1ère classe et apprécie le rapport qualité-prix . Je recommande vivement . A bientôt dans toute la France
comments  76$Personnel aimable , prevenant et professionnel. Chambre propre .
comments  77$Épouvantable du bruit un lit horrible du boucan a fuir
comments  78$Fermeture pour cause de virus !
comments  79$
comments  80$Bien mais chambre bruyante et odeur de cigarette dans la chambre
comments  81$De l'arrivée au départ en passant par le petit-déjeuner je n'ai rencontré que du personnel prévenant et professionnel. Cela fait très plaisir surtout après être passée dans un établissement de la même franchise où j'ai vécu la pire de mes expériences lors de mes déplacements professionnels. Merci aux réceptionnistes pour leur amabilité et aux femmes de chambres pour leur efficacité !
comments  82$Le rapport qualité prix Un petit coup de peinture dans les chambres serait bien
comments  83$Bien placé calme équipé comme il faut
comments  84$Coupure d eau donc pas d eau chaude ma fille s est retrouvé aix urgences car elle s est cogné contre le lit superposé et s est ouverte le front.il faudrait mettre une protection sur le lit en hauteur pour eviter d avoir ce genre d accident .....
comments  85$Le matelas de ma chambre usagés et mon repos a été difficile. J'ai été très fatigué pour les fêtes suite au manque de sommeil. Louis
comments  86$Chambre assez propre. Hôtel bien situé. Petit déjeuné copieux. Seul petit bémol, un peu bruyant.
comments  87$Un hôtel plutôt calme, un accueil fort agréable par la dame de service ces jours là, elle a toujours le sourire et est à l écoute du client. Quand nous retournerons dans le secteur c est cet hôtel que nous reprendrons.
comments  88$Le clavier pour le portail est cache par les feuilles
comments  89$Très bon séjour nous avons passé qu une seul nuit mes très agréables le personnel super agréable très gentil petit déjeuner super comme d habitude.
comments  90$Spartan Race
comments  91$Chambre près de la route trop bruyant et portail piéton en permanence ouvert trop bruyant même avec le vent
comments  92$Il est dommage que le site hotel.com indique une taxe de séjour par personne et par jour à 0.61 euro et qu'il soit facturé sur place 0.83...
comments  93$tres bon sejour hotel bien entretenue propre fleurie
comments  94$Rapport qualité/prix correct mais état moyen de la chambre et des équipements Le parking gratuit et sécurisé est un plus
comments  95$La chambre sentait la fumée de cigarette.
comments  96$Pour une étape d’une nuit c’est bien. Hôtel agréable
comments  97$Des cafards retrouvés dans la chambre. La porte de la salle de bain cassée.
comments  98$C’était propre mais chambres trop petites et pas assez isolées . On entend tout ce qu’il se passe dehors . Dommage.
comments  99$accueillant toujours une solution pour nous qui étions en vélo
comments  100$
comments  101$Bel hôtel, belle chambre, belle salle d'eau..., mais avec les toilettes non séparées. repas en chambre de qualité mais sans plus, petit déjeuner copieux ..., mais cuillères à café pas dignes d'un 4 étoiles et avec une facturation présentant une erreur..., des petits détails qui nous laissent un petit gout légèrement amer…d'autant plus que je fêtais mes 72 ans avec l'arrivée du printemps
comments  102$
