
e;92836;'toilettes';1;888
e;74198;'effets';1;58
e;2081551;'sapes';2;2
e;422869;'loo';1;50
e;2605366;'scene';1;4
e;12529;'water-closets';1;60
e;78814;'pipi-room';1;54
e;258709;'cagoince';1;54
e;2435306;'watercloset';1;0
e;136771;'WC';1;476
e;1773803;'w c';1;0
e;42193;'lavatory';1;50
e;81235;'w.-c';1;50
e;226723;'sanisettes';1;4
e;7225;'litière';1;128
e;30142;'w.c';1;50
e;145356;'W.C';1;56
e;90645;'vécés';1;52
e;25132;'tenue';1;492
e;7592;'ajustement';1;84
e;143930;'mise';1;186
e;130778;'tailleur';1;242
e;70998;'trousseau';1;206
e;66380;'goguenots';1;58
e;77583;'gogues';1;58
e;161627;'wc';1;104
e;39676;'tartisses';1;56
e;183000;'lieu d'aisance';1;2
e;142299;'W.-C';1;50
e;92378;'habillement';1;598
e;92080;'vêtements';1;546
e;32981;'ablution';1;64
e;78813;'astiquage';1;50
e;110160;'robe';1;1122
e;125120;'toilettage';1;80
e;13880;'cabinets';1;104
e;179693;'w.-c.';1;50
e;68115;'waters';1;58
e;95364;'nettoyage';1;556
e;51445;'apprêts';1;50
e;59618;'bain';1;928
e;58088;'chiffon';1;484
e;125719;'coiffeuse';1;236
e;133857;'mode';1;1348
e;109023;'poudreuse';1;136
e;2512779;'gogs';1;0
e;109733;'propreté';1;482
e;142873;'costume';1;516
e;90053;'lavabo';1;712
e;115805;'soin';1;1282
e;2511898;'W.C.';1;0
e;48961;'parure';1;258
e;35925;'terrain';1;1782
e;123521;'water-closet';1;50
e;210065;'W. - C.';1;50
e;139781;'lieux d'aisances';1;58
e;127645;'chiotte';1;86
e;110365;'gogue';1;50
e;74913;'latrines';1;100
e;24814;'cabinet';1;788
e;77771;'petit coin';1;68
e;94933;'chiottes';1;296
r;416289170;7586152;92836;5;15
r;416289172;14922545;92836;5;15
r;416289174;14965744;92836;5;15
r;416289176;15061000;92836;5;15
r;416289178;14922929;92836;5;15
r;416289189;15101251;92836;5;15
r;416289191;7096309;92836;5;15
r;416289193;15070022;92836;5;15
r;416289195;14945968;92836;5;15
r;416289197;15070021;92836;5;15
r;416289206;14944793;92836;5;15
r;416289208;15110526;92836;5;15
r;416289210;14921509;92836;5;15
r;416289212;15090553;92836;5;15
r;416289214;14962152;92836;5;15
r;416349036;15076258;92836;5;15
r;416349037;14925533;92836;5;15
r;416349039;14954145;92836;5;15
r;416349040;9120871;92836;5;15
r;416354622;7586645;92836;5;15
r;416354623;14954955;92836;5;15
r;416354625;15066856;92836;5;15
r;397281218;7010627;92836;5;20
r;397279806;14966796;92836;5;20
r;413160118;7420660;92836;5;20
r;412847900;74198;92836;5;21
r;287980188;66380;92836;5;25
r;414667438;2081551;92836;5;25
r;85643878;78813;92836;5;26
r;287980190;77583;92836;5;26
r;12158667;110365;92836;5;27
r;12158963;77771;92836;5;27
r;61011258;2512779;92836;5;27
r;85643858;7592;92836;5;27
r;85643860;143930;92836;5;27
r;85643876;51445;92836;5;27
r;85797373;13880;92836;5;27
r;85643862;92378;92836;5;28
r;85643887;133857;92836;5;28
r;85643893;115805;92836;5;28
r;1730500;183000;92836;5;29
r;85643885;90053;92836;5;29
r;85643889;109023;92836;5;29
r;85643899;70998;92836;5;29
r;77536982;258709;92836;5;30
r;402445524;9120862;92836;5;30
r;402445639;14925511;92836;5;30
r;85643880;59618;92836;5;31
r;85643884;125719;92836;5;31
r;85643870;142873;92836;5;32
r;85643874;48961;92836;5;32
r;85643895;130778;92836;5;32
r;309331344;595416;92836;5;33
r;309387449;606135;92836;5;33
r;309403380;683643;92836;5;33
r;309409201;1169131;92836;5;33
r;85643856;25132;92836;5;34
r;85643868;32981;92836;5;34
r;85643872;95364;92836;5;34
r;85643882;58088;92836;5;34
r;85643891;110160;92836;5;34
r;1943064;214867;92836;5;35
r;85643864;109733;92836;5;35
r;85643897;125120;92836;5;37
r;413017185;14928034;92836;5;40
r;413017498;15251537;92836;5;40
r;77975252;90645;92836;5;41
r;54169751;123521;92836;5;42
r;95748730;2435306;92836;5;42
r;12158961;127645;92836;5;45
r;12129793;226723;92836;5;54
r;188034;7225;92836;5;55
r;85643866;92080;92836;5;55
r;8859702;39676;92836;5;57
r;55227660;12529;92836;5;57
r;55146876;68115;92836;5;59
r;55148108;139781;92836;5;59
r;72733254;78814;92836;5;61
r;1727939;179693;92836;5;71
r;12189258;136771;92836;5;71
r;13500771;81235;92836;5;71
r;13577236;161627;92836;5;71
r;29139010;1773803;92836;5;71
r;29161534;145356;92836;5;71
r;29161622;30142;92836;5;71
r;53898941;210065;92836;5;71
r;53898977;142299;92836;5;71
r;89172670;2511898;92836;5;75
r;1730712;24814;92836;5;85
r;12165866;74913;92836;5;85
r;194081258;94933;92836;5;109
