r;1859773;233027;156292;0;52
r;2066161;125152;156292;0;52
r;328132823;12049566;156292;0;52
r;2258630;89149;156292;0;55
r;13433840;151540;156292;0;55
r;409452024;15199154;156292;0;60
r;368208929;11130900;156292;0;61
r;273752;139209;156292;0;69
r;2513439;251245;156292;0;70
r;395119663;15079386;156292;0;70
r;2404537;250697;156292;0;80
r;2438045;256911;156292;0;80
r;408252555;258425;156292;0;80
r;106960054;256915;156292;0;81
r;412871962;378472;156292;0;90
r;401533442;15245282;156292;0;95
r;328132820;156607;156292;0;99
r;401533424;15428470;156292;0;100
r;3205203;231612;156292;0;101
r;2406054;251227;156292;0;110
r;95332121;3705466;156292;0;142
