
e;5430;'housse';1;90
e;358071;'housse de coutil';1;50
e;358068;'housse de cretonne';1;50
e;358069;'housse de pied';1;50
e;358070;'housse penderie';1;50
r;12670540;358072;5430;0;106
r;12670548;358070;5430;0;106
r;12670556;358068;5430;0;107
r;12670536;358073;5430;0;108
r;396569117;15213390;5430;0;110
r;406544259;15045305;5430;0;120
r;9433026;155943;5430;0;145
r;9439624;165154;5430;0;145
r;11863492;101051;5430;0;145
r;9486160;203101;5430;0;147
r;9435642;159805;5430;0;161
