
e;48041;'sauna';1;234
e;17859;'sudatoire';1;50
e;91548;'bains';1;88
e;19798;'sudatorium';1;50
e;115188;'étuve';1;60
e;59618;'bain';1;928
r;54664360;48041;17859;5;-50
r;390939463;48041;14960406;5;25
r;53863548;48041;91548;5;51
r;54664361;48041;19798;5;63
r;555497;48041;115188;5;82
r;555498;48041;59618;5;83
r;77831621;17859;48041;5;-50
r;390939465;14960406;48041;5;25
r;54698201;19798;48041;5;52
r;53848324;91548;48041;5;53
r;574929;115188;48041;5;75
r;555496;59618;48041;5;95
