r;12596608;376327;127337;0;102
r;12580192;380319;127337;0;104
r;12580208;380314;127337;0;105
r;12580204;380315;127337;0;106
r;12580194;380318;127337;0;109
r;12580200;380316;127337;0;109
r;12580212;380313;127337;0;109
r;12580196;380317;127337;0;110
r;136912;71578;127337;0;164
r;75;61092;127337;0;234
r;113937;107799;127337;0;281
