
e;80522;'jacuzzi';1;62
r;12860479;63985;80522;0;4
r;12860480;141574;80522;0;4
r;12860481;105716;80522;0;4
r;12860483;65012;80522;0;4
r;423582847;26697;80522;0;5
r;429410792;15048047;80522;0;5
r;429410793;15048046;80522;0;5
r;429410794;14947255;80522;0;5
r;429410795;14965077;80522;0;5
r;429410824;14918478;80522;0;5
r;429480746;232695;80522;0;5
r;429480747;2496939;80522;0;5
r;423582879;66839;80522;0;6
r;416041348;14944656;80522;0;25
r;12860477;58867;80522;0;28
r;15572355;45179;80522;0;28
r;15572356;102000;80522;0;29
r;12356516;158397;80522;0;30
r;398612875;15103094;80522;0;30
r;405067759;15193261;80522;0;30
r;2117143;244205;80522;0;35
r;412751096;15205767;80522;0;35
r;72393021;10561;80522;0;40
r;10872663;135190;80522;0;52
r;10872665;132716;80522;0;57
r;1827079;231988;80522;0;60
r;10872664;241691;80522;0;60
r;359712931;6352883;80522;0;90
r;410723653;7322501;80522;0;90
r;410723894;14965080;80522;0;90
r;410724012;15211640;80522;0;90
r;12124862;232000;80522;0;91
r;1833910;232001;80522;0;95
r;390956431;14944657;80522;0;95
r;410723980;15305358;80522;0;95
r;12860482;114386;80522;0;126
r;290579969;6912686;80522;0;281
r;290579919;214487;80522;0;282
